,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,B27002_001E,Total Race Population,B03001_003E,White,Black or African American,America Native,Asian,Native Pacific,Other,Two or More,Two or More Inclusive,Three or More,state,ZIP_CODE
282,ZCTA5 01463,104130.0,12105.0,44.0,47279.0,603.0,12045.0,12105.0,238.0,11463.0,96.0,0.0,274.0,0.0,55.0,217.0,14.0,203.0,25,01463
283,ZCTA5 01464,76875.0,7633.0,47.2,35543.0,278.0,6162.0,7633.0,749.0,5925.0,646.0,0.0,308.0,0.0,515.0,239.0,17.0,222.0,25,01464
284,ZCTA5 01467,-666666666.0,276.0,57.1,57688.0,0.0,276.0,276.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,01467
285,ZCTA5 01468,73246.0,4062.0,46.0,42111.0,192.0,4062.0,4062.0,34.0,3901.0,0.0,24.0,137.0,0.0,0.0,0.0,0.0,0.0,25,01468
286,ZCTA5 01469,91964.0,7670.0,40.5,40677.0,275.0,7658.0,7670.0,213.0,7397.0,83.0,0.0,125.0,0.0,36.0,29.0,0.0,29.0,25,01469
287,ZCTA5 01473,100972.0,7766.0,44.3,44228.0,198.0,7766.0,7766.0,258.0,7729.0,0.0,0.0,18.0,0.0,0.0,19.0,0.0,19.0,25,01473
288,ZCTA5 01474,90302.0,1803.0,51.1,51399.0,81.0,1803.0,1803.0,90.0,1791.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,25,01474
289,ZCTA5 01475,80267.0,10825.0,37.8,32312.0,1112.0,10811.0,10825.0,347.0,10065.0,129.0,0.0,283.0,0.0,81.0,267.0,34.0,233.0,25,01475
290,ZCTA5 01501,85432.0,16619.0,45.0,42126.0,512.0,16513.0,16619.0,760.0,15784.0,146.0,9.0,322.0,0.0,110.0,248.0,10.0,238.0,25,01501
291,ZCTA5 01503,99297.0,3182.0,49.7,49929.0,134.0,3182.0,3182.0,7.0,3093.0,13.0,0.0,29.0,0.0,0.0,47.0,0.0,47.0,25,01503
292,ZCTA5 01504,95375.0,9263.0,41.7,40889.0,352.0,9240.0,9263.0,219.0,8821.0,115.0,43.0,71.0,0.0,42.0,171.0,63.0,108.0,25,01504
293,ZCTA5 01505,97591.0,4623.0,45.2,48655.0,175.0,4623.0,4623.0,191.0,4443.0,9.0,0.0,122.0,0.0,6.0,43.0,0.0,43.0,25,01505
294,ZCTA5 01506,70338.0,3441.0,44.0,36953.0,107.0,3422.0,3441.0,1.0,3301.0,11.0,0.0,48.0,0.0,28.0,53.0,0.0,53.0,25,01506
295,ZCTA5 01507,101111.0,13550.0,43.3,42727.0,646.0,13428.0,13550.0,831.0,12851.0,120.0,18.0,87.0,0.0,65.0,409.0,171.0,238.0,25,01507
296,ZCTA5 01510,67634.0,13935.0,37.2,33796.0,1127.0,13935.0,13935.0,2407.0,12427.0,448.0,117.0,251.0,0.0,515.0,177.0,0.0,177.0,25,01510
297,ZCTA5 01515,82946.0,2040.0,37.8,34840.0,112.0,2040.0,2040.0,58.0,1979.0,22.0,9.0,0.0,0.0,30.0,0.0,0.0,0.0,25,01515
298,ZCTA5 01516,99943.0,8859.0,44.1,43562.0,309.0,8859.0,8859.0,506.0,8546.0,28.0,0.0,160.0,0.0,16.0,109.0,15.0,94.0,25,01516
299,ZCTA5 01518,72470.0,3947.0,38.3,37510.0,238.0,3947.0,3947.0,102.0,3747.0,1.0,0.0,150.0,0.0,42.0,7.0,1.0,6.0,25,01518
300,ZCTA5 01519,109670.0,7042.0,41.7,49031.0,305.0,7042.0,7042.0,334.0,5859.0,310.0,0.0,449.0,0.0,179.0,245.0,42.0,203.0,25,01519
301,ZCTA5 01520,109529.0,15781.0,43.2,48778.0,532.0,15624.0,15781.0,547.0,14916.0,146.0,12.0,338.0,7.0,55.0,307.0,22.0,285.0,25,01520
302,ZCTA5 01521,82179.0,2630.0,45.5,38601.0,131.0,2630.0,2630.0,65.0,2567.0,21.0,4.0,0.0,0.0,13.0,25.0,8.0,17.0,25,01521
303,ZCTA5 01522,108036.0,3270.0,44.3,45049.0,260.0,3270.0,3270.0,270.0,3179.0,23.0,0.0,52.0,0.0,0.0,16.0,0.0,16.0,25,01522
304,ZCTA5 01523,93385.0,7794.0,39.2,33269.0,276.0,6468.0,7794.0,590.0,6872.0,597.0,0.0,73.0,17.0,27.0,208.0,93.0,115.0,25,01523
305,ZCTA5 01524,81042.0,6654.0,42.3,36011.0,505.0,6623.0,6654.0,163.0,6338.0,160.0,0.0,45.0,9.0,0.0,102.0,2.0,100.0,25,01524
306,ZCTA5 01525,40947.0,544.0,27.5,20550.0,61.0,544.0,544.0,74.0,470.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,25,01525
307,ZCTA5 01527,85781.0,13732.0,44.9,42500.0,592.0,13548.0,13732.0,169.0,12621.0,195.0,6.0,346.0,54.0,168.0,342.0,17.0,325.0,25,01527
308,ZCTA5 01529,79129.0,3256.0,41.3,38338.0,233.0,3256.0,3256.0,30.0,3166.0,16.0,0.0,1.0,0.0,7.0,66.0,0.0,66.0,25,01529
309,ZCTA5 01531,91125.0,1211.0,48.8,38676.0,131.0,1211.0,1211.0,7.0,1196.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,11.0,25,01531
310,ZCTA5 01532,128613.0,15056.0,43.4,60688.0,389.0,14908.0,15056.0,405.0,12665.0,489.0,42.0,1378.0,9.0,179.0,294.0,47.0,247.0,25,01532
311,ZCTA5 01534,102284.0,6296.0,45.2,45059.0,335.0,6096.0,6296.0,373.0,6045.0,65.0,7.0,35.0,18.0,68.0,58.0,0.0,58.0,25,01534
312,ZCTA5 01535,78750.0,4774.0,44.2,37047.0,161.0,4774.0,4774.0,75.0,4649.0,49.0,0.0,28.0,0.0,14.0,34.0,0.0,34.0,25,01535
313,ZCTA5 01536,109329.0,7576.0,39.7,47453.0,674.0,7558.0,7576.0,667.0,6670.0,275.0,0.0,313.0,0.0,92.0,226.0,8.0,218.0,25,01536
314,ZCTA5 01537,64975.0,2201.0,38.7,33309.0,213.0,2201.0,2201.0,132.0,2002.0,78.0,0.0,44.0,0.0,1.0,76.0,0.0,76.0,25,01537
315,ZCTA5 01540,77184.0,11581.0,39.7,34735.0,973.0,11513.0,11581.0,647.0,10348.0,200.0,0.0,307.0,0.0,324.0,402.0,159.0,243.0,25,01540
316,ZCTA5 01541,136083.0,3455.0,49.7,60843.0,165.0,3455.0,3455.0,52.0,3316.0,15.0,0.0,8.0,0.0,14.0,102.0,9.0,93.0,25,01541
317,ZCTA5 01542,106250.0,2567.0,40.4,39049.0,41.0,2512.0,2567.0,64.0,2427.0,116.0,11.0,0.0,0.0,9.0,4.0,0.0,4.0,25,01542
318,ZCTA5 01543,107928.0,8685.0,39.2,39751.0,255.0,8668.0,8685.0,285.0,8148.0,3.0,0.0,360.0,0.0,47.0,127.0,88.0,39.0,25,01543
319,ZCTA5 01545,105014.0,37086.0,41.9,48516.0,1459.0,37000.0,37086.0,1714.0,27096.0,1001.0,65.0,7146.0,0.0,486.0,1292.0,170.0,1122.0,25,01545
320,ZCTA5 01550,51270.0,16887.0,39.3,26661.0,3460.0,16693.0,16887.0,5548.0,13873.0,575.0,49.0,72.0,0.0,1619.0,699.0,153.0,546.0,25,01550
321,ZCTA5 01560,88750.0,4396.0,39.2,47011.0,208.0,4383.0,4396.0,247.0,3281.0,126.0,0.0,752.0,0.0,2.0,235.0,23.0,212.0,25,01560
322,ZCTA5 01561,-666666666.0,209.0,67.4,41971.0,0.0,209.0,209.0,0.0,124.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,25,01561
